X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size,lon,lat,ward
323246.25,672436.300000001,2481497,Mcleod Street,WS: Bottle Bank - Mixed,323246,672436,,7903443,1,660.0,-3.230301261410774,55.938823576331615,Sighthill / Gorgie
323204.25,672553.02,2481498,Mcleod Street,WS: Bottle Bank - Mixed,323204,672553,,7903443,1,660.0,-3.2310067903161204,55.93986783553516,Sighthill / Gorgie
322903.52,672360.140000001,2481499,Smithfield Street,WS: Bottle Bank - Mixed,322904,672360,,7903260,1,660.0,-3.2357530368996366,55.938086102419426,Sighthill / Gorgie
322903.63,672360.01,2481500,Smithfield Street,WS: Packaging,322904,672360,,7903260,2,1280.0,-3.2357530368996366,55.938086102419426,Sighthill / Gorgie
322899.95,672336.390000001,2481501,Smithfield Street,WS: Bottle Bank - Mixed,322900,672336,,7903260,1,660.0,-3.235810187650064,55.9378698759459,Sighthill / Gorgie
322900.29,672336.550000001,2481502,Smithfield Street,WS: Packaging,322900,672337,,7903260,2,1280.0,-3.235810473721062,55.93787885862216,Sighthill / Gorgie
322899.49,672338.07,2481503,Smithfield Street,WS: Food Waste Communal,322899,672338,,7903260,1,240.0,-3.235826763835209,55.9378876807326,Sighthill / Gorgie
322900.47,672337.550000001,2481504,Smithfield Street,WS: Communal Bin,322900,672338,,7903260,2,1280.0,-3.235810759792225,55.9378878412984,Sighthill / Gorgie
322924.4,672295.369999999,2481505,Smithfield Street,WS: Bottle Bank - Mixed,322924,672295,,7903260,1,660.0,-3.235414365618791,55.937505439107085,Sighthill / Gorgie
322924.31,672294.76,2481506,Smithfield Street,WS: Communal Bin,322924,672295,,7903260,2,1280.0,-3.235414365618791,55.937505439107085,Sighthill / Gorgie
322923.03,672275.68,2481507,Smithfield Street,WS: Bottle Bank - Mixed,322923,672276,,7903260,1,660.0,-3.2354249359327616,55.937334607707236,Sighthill / Gorgie
322922.61,672275.310000001,2481508,Smithfield Street,WS: Packaging,322923,672275,,7903260,2,1280.0,-3.2354246499568218,55.937325625028855,Sighthill / Gorgie
322922.78,672275.220000001,2481509,Smithfield Street,WS: Food Waste Communal,322923,672275,,7903260,1,240.0,-3.2354246499568218,55.937325625028855,Sighthill / Gorgie
323025.59,672317.640000001,2481510,Wheatfield Street,WS: Bottle Bank - Mixed,323026,672318,,7903404,1,660.0,-3.2337885370106996,55.93772840229741,Sighthill / Gorgie
323024.74,672317.57,2481511,Wheatfield Street,WS: Packaging,323025,672318,,7903404,2,1280.0,-3.233804541000139,55.93772824199456,Sighthill / Gorgie
323025.0,672317.73,2481512,Wheatfield Street,WS: Food Waste Communal,323025,672318,,7903404,1,240.0,-3.233804541000139,55.93772824199456,Sighthill / Gorgie
323025.0,672317.73,2481513,Wheatfield Street,WS: Communal Bin,323025,672318,,7903404,2,1280.0,-3.233804541000139,55.93772824199456,Sighthill / Gorgie
323036.02,672325.07,2481514,Wheatfield Street,WS: Bottle Bank - Mixed,323036,672325,,7903404,1,660.0,-3.2336304960633826,55.93779288399831,Sighthill / Gorgie
323036.02,672325.24,2481515,Wheatfield Street,WS: Packaging,323036,672325,,7903404,2,1280.0,-3.2336304960633826,55.93779288399831,Sighthill / Gorgie
323036.16,672325.060000001,2481516,Wheatfield Street,WS: Food Waste Communal,323036,672325,,7903404,1,240.0,-3.2336304960633826,55.93779288399831,Sighthill / Gorgie
323036.08,672325.310000001,2481517,Wheatfield Street,WS: Communal Bin,323036,672325,,7903404,2,1280.0,-3.2336304960633826,55.93779288399831,Sighthill / Gorgie
323003.31,672359.199999999,2481518,Wheatfield Terrace,WS: Bottle Bank - Mixed,323003,672359,,7903405,1,660.0,-3.2341683420190317,55.93809300475903,Sighthill / Gorgie
323002.98,672359.59,2481519,Wheatfield Terrace,WS: Packaging,323003,672360,,7903405,2,1280.0,-3.2341686277125006,55.938101987440525,Sighthill / Gorgie
323003.19,672359.84,2481520,Wheatfield Terrace,WS: Food Waste Communal,323003,672360,,7903405,1,240.0,-3.2341686277125006,55.938101987440525,Sighthill / Gorgie
322995.71,672405.689999999,2481521,Wheatfield Place,WS: Bottle Bank - Mixed,322996,672406,,7903402,1,660.0,-3.2342937999645187,55.938514068242206,Sighthill / Gorgie
322996.59,672405.41,2481522,Wheatfield Place,WS: Packaging,322997,672405,,7903402,2,1280.0,-3.234277509930891,55.93850524592958,Sighthill / Gorgie
323043.87,671894.18,2481523,Hermand Crescent,WS: Bottle Bank - Mixed,323044,671894,,7902915,1,660.0,-3.2333794129467224,55.93392262798582,Fountainbridge / Craiglockhart
323205.31,672337.35,2481524,Newton Street,WS: Food Waste Communal,323205,672337,,7903093,1,240.0,-3.2309292341565565,55.937927734191206,Sighthill / Gorgie
323205.81,672336.84,2481525,Newton Street,WS: Bottle Bank - Mixed,323206,672337,,7903093,1,660.0,-3.23091323006758,55.937927894121,Sighthill / Gorgie
323206.83,672337.82,2481526,Newton Street,WS: Packaging,323207,672338,,7903093,3,1280.0,-3.230897510913203,55.93793703674149,Sighthill / Gorgie
323206.96,672335.66,2481527,Newton Street,WS: Communal Bin,323207,672336,,7903093,3,1280.0,-3.2308969410438424,55.937919071355914,Sighthill / Gorgie
323211.08,672341.93,2481528,Newton Street,WS: Food Waste Communal,323211,672342,,7903093,1,240.0,-3.230834634221663,55.93797360720355,Sighthill / Gorgie
323211.59,672341.92,2481529,Newton Street,WS: Bottle Bank - Mixed,323212,672342,,7903093,3,1280.0,-3.2308186301132054,55.937973767121136,Sighthill / Gorgie
323212.29,672343.25,2481530,Newton Street,WS: Packaging,323212,672343,,7903093,3,1280.0,-3.2308189150302686,55.937982749814125,Sighthill / Gorgie
323212.43,672341.57,2481531,Newton Street,WS: Communal Bin,323212,672342,,7903093,3,1280.0,-3.2308186301132054,55.937973767121136,Sighthill / Gorgie
322325.06,671129.32,2481532,Hutchison Terrace,WS: Food Waste Communal,322325,671129,,7906539,1,240.0,-3.244664743981274,55.926935144703684,Fountainbridge / Craiglockhart
327845.62,674985.18,2481533,Sleigh Drive,WS: Bottle Bank - Mixed,327846,674985,,7902174,1,360.0,-3.1573621137377783,55.962434351601985,Craigentinny / Duddingston
322914.6,672392.35,2481534,Wheatfield Place,WS: Bottle Bank - Mixed,322915,672392,,7903402,1,500.0,-3.2355861442139426,55.93837531407602,Sighthill / Gorgie
327844.44,674984.699999999,2481535,Sleigh Drive,WS: Packaging,327844,674985,,7902174,1,1100.0,-3.1573941429960346,55.9624340507604,Craigentinny / Duddingston
327844.09,674984.359999999,2481536,Sleigh Drive,WS: Communal Bin,327844,674984,,7902174,1,1280.0,-3.1573938748235606,55.962425067863144,Craigentinny / Duddingston
322640.12,671625.59,2481537,Moat Terrace,WS: Food Waste Communal,322640,671626,,7903058,1,240.0,-3.239767478894455,55.9314503651448,Fountainbridge / Craiglockhart
322639.92,671623.92,2481538,Moat Terrace,WS: Bottle Bank - Mixed,322640,671624,,7903058,1,660.0,-3.2397669050598914,55.93143239980023,Fountainbridge / Craiglockhart
327950.12,674964.369999999,2481539,Sleigh Drive,WS: Bottle Bank - Mixed,327950,674964,,7902174,1,360.0,-3.155690968131188,55.96226134293954,Craigentinny / Duddingston
327950.45,674964.359999999,2481540,Sleigh Drive,WS: Communal Bin,327950,674964,,7902174,1,1100.0,-3.155690968131188,55.96226134293954,Craigentinny / Duddingston
327949.61,674963.880000001,2481541,Sleigh Drive,WS: Packaging,327950,674964,,7902174,1,1100.0,-3.155690968131188,55.96226134293954,Craigentinny / Duddingston
328010.48,674957.68,2481542,Sleigh Drive,WS: Food Waste Communal,328010,674958,,7902174,1,240.0,-3.154728488499806,55.962216453836696,Craigentinny / Duddingston
328010.8,674957.33,2481543,Sleigh Drive,WS: Bottle Bank - Mixed,328011,674957,,7902174,1,360.0,-3.154712206396398,55.96220762100576,Craigentinny / Duddingston
328011.31,674957.83,2481544,Sleigh Drive,WS: Packaging,328011,674958,,7902174,1,1280.0,-3.154712473945557,55.962216603911834,Craigentinny / Duddingston
328011.46,674957.439999999,2481545,Sleigh Drive,WS: Communal Bin,328011,674957,,7902174,1,1100.0,-3.154712206396398,55.96220762100576,Craigentinny / Duddingston
322884.97,672385.949999999,2481546,Wheatfield Place,WS: Bottle Bank - Mixed,322885,672386,,7903402,1,660.0,-3.236064554692211,55.93831660099757,Sighthill / Gorgie
322884.44,672386.380000001,2481547,Wheatfield Place,WS: Packaging,322884,672386,,7903402,2,1280.0,-3.2360805589104342,55.938316440398,Sighthill / Gorgie
322888.01,672389.41,2481548,Wheatfield Place,WS: Food Waste Communal,322888,672389,,7903402,1,240.0,-3.23601740040772,55.93834403080844,Sighthill / Gorgie
322218.0,673198.0,2481549,Corstorphine Road,WS: Bottle Bank - Mixed,322218,673198,,7905055,1,360.0,-3.246973732239553,55.94550291735289,Corstorphine / Murrayfield
322218.0,673198.0,2481550,Corstorphine Road,WS: Food Waste Communal,322218,673198,,7905055,1,240.0,-3.246973732239553,55.94550291735289,Corstorphine / Murrayfield
322218.0,673198.0,2481552,Corstorphine Road,WS: Communal Bin,322218,673198,,7905055,2,1280.0,-3.246973732239553,55.94550291735289,Corstorphine / Murrayfield
322192.0,673211.0,2481553,Corstorphine Road,WS: Bottle Bank - Mixed,322192,673211,,7905055,1,360.0,-3.2473936720377363,55.94561547803028,Corstorphine / Murrayfield
322192.0,673211.0,2481554,Corstorphine Road,WS: Food Waste Communal,322192,673211,,7905055,1,240.0,-3.2473936720377363,55.94561547803028,Corstorphine / Murrayfield
322192.0,673211.0,2481555,Corstorphine Road,WS: Packaging,322192,673211,,7905055,2,1280.0,-3.2473936720377363,55.94561547803028,Corstorphine / Murrayfield
322192.0,673211.0,2481556,Corstorphine Road,WS: Communal Bin,322192,673211,,7905055,2,1280.0,-3.2473936720377363,55.94561547803028,Corstorphine / Murrayfield
322655.38,672221.83,2481557,Westfield Road,WS: Bottle Bank - Mixed,322655,672222,,7903399,1,660.0,-3.2396984570893,55.93680645155354,Sighthill / Gorgie
322655.46,672221.83,2481558,Westfield Road,WS: Packaging,322655,672222,,7903399,2,1280.0,-3.2396984570893,55.93680645155354,Sighthill / Gorgie
322655.3,672222.369999999,2481559,Westfield Road,WS: Food Waste Communal,322655,672222,,7903399,1,240.0,-3.2396984570893,55.93680645155354,Sighthill / Gorgie
322654.92,672221.800000001,2481560,Westfield Road,WS: Communal Bin,322655,672222,,7903399,2,1280.0,-3.2396984570893,55.93680645155354,Sighthill / Gorgie
322658.38,672235.199999999,2481561,Westfield Road,WS: Bottle Bank - Mixed,322658,672235,,7903399,1,660.0,-3.2396541767062965,55.93692370938849,Sighthill / Gorgie
322659.22,672235.59,2481562,Westfield Road,WS: Packaging,322659,672236,,7903399,2,1280.0,-3.2396384600304384,55.93693285311426,Sighthill / Gorgie
322659.03,672235.6,2481563,Westfield Road,WS: Food Waste Communal,322659,672236,,7903399,1,240.0,-3.2396384600304384,55.93693285311426,Sighthill / Gorgie
322764.57,672239.439999999,2481564,Westfield Street,WS: Bottle Bank - Mixed,322765,672239,,7903400,1,660.0,-3.23794293439628,55.936976861821606,Sighthill / Gorgie
322764.9,672239.1,2481565,Westfield Street,WS: Packaging,322765,672239,,7903400,2,1280.0,-3.23794293439628,55.936976861821606,Sighthill / Gorgie
322764.51,672239.949999999,2481566,Westfield Street,WS: Food Waste Communal,322765,672240,,7903400,1,240.0,-3.2379432209511836,55.93698584449196,Sighthill / Gorgie
322764.33,672239.779999999,2481567,Westfield Street,WS: Communal Bin,322764,672240,,7903400,2,1280.0,-3.237959224609437,55.93698568365089,Sighthill / Gorgie
322765.05,672294.300000001,2481568,Westfield Street,WS: Bottle Bank - Mixed,322765,672294,,7903400,1,660.0,-3.2379586951580546,55.93747090866962,Sighthill / Gorgie
322611.63,671719.26,2481569,Moat Street,WS: Bottle Bank - Mixed,322612,671719,,7903057,1,660.0,-3.240242210733373,55.93228124278506,Fountainbridge / Craiglockhart
322765.34,672295.970000001,2481570,Westfield Street,WS: Packaging,322765,672296,,7903400,2,1280.0,-3.2379592682859557,55.93748887400874,Sighthill / Gorgie
322671.67,671674.359999999,2481571,Moat Street,WS: Packaging,322672,671674,,7903057,2,1280.0,-3.2392692016505578,55.93188668654768,Fountainbridge / Craiglockhart
